species,name,text,meaning,context,index
crested_gecko,tail_waving_slow,Tail waving (slow),느리게 꼬리를 흔들며 스트레스를 표현하고 경고 신호를 보냄,"포식자나 사람의 접촉 시 두려움 표현, 스트레스 상태",0
crested_gecko,tail_vibration_rapid,Tail vibration (rapid),빠르게 꼬리를 진동시켜 흥분 또는 공격/구애 신호를 보냄,"사냥 직전, 짝짓기 시 수컷의 흥분 표현",1
crested_gecko,territorial_marking,Territorial marking (scent rubbing),수컷이 향기 분비물과 꼬리 흔들기로 영역 표시,"수컷 간 세력권 다툼, 번식기 영역 방어",2
crested_gecko,distress_chirping,Distress chirping,두려움이나 불편함을 나타내는 짧은 울음소리,"포획, 놀람, 스트레스 상황",3
crested_gecko,barking_call,Barking call,짖는 듯한 발성으로 영역 또는 번식 신호 전달,야간 활동 중 수컷의 구애 또는 경계 표현,4
crested_gecko,head_shaking,Head shaking (refusal),머리를 흔들어 거부 또는 싫음을 표현,"접촉 거부, 수컷 교미 시도 거부",5
crested_gecko,open_mouth_threat,Open-mouth threat,"입을 벌려 상대를 위협, 공격 경고 신호","극도의 위협 상황, 방어 자세",6
crested_gecko,mating_bite,Mating bite,수컷이 암컷의 몸을 살짝 물며 교미 자세 고정,짝짓기 시도 중 또는 교미 중,7
crested_gecko,escape_jump,Escape jump,위협 시 갑작스럽게 점프하여 도주,포식자 회피 또는 놀람 상황,8
crested_gecko,tail_autotomy,Tail autotomy,꼬리를 절단해 주의를 끌고 도망,포식자 접촉 또는 극심한 스트레스 상황,9
crested_gecko,fired_down_calm,Fired-down calm,색이 옅어지고 움직임이 느려지는 평온 상태,"낮 시간 휴식, 익숙한 환경, 무스트레스 상태",10
