species,name,text,meaning,context,index,x,y
cornsnake,tail_vibration,Tail vibration,꼬리를 빠르게 흔들어 경고음 생성,"포식자 회피, 방어 경고 신호",0,-0.323907,-0.294232
cornsnake,defensive_hiss,Defensive hiss,숨을 강하게 내쉬어 ‘쉿’ 소리를 내며 위협,포식자 접근 또는 사람의 접촉 시,1,0.629356,0.005997
cornsnake,body_flattening,Body flattening,몸을 납작하게 펴서 독사처럼 보이게 함,포식자 마주침 시 의태적 방어,2,-0.192539,-0.014268
cornsnake,s_coil_pose,S-coil strike pose,머리를 뒤로 감아 공격 준비 자세를 취함,도망 불가 시 방어 태세 진입,3,0.254184,0.146264
cornsnake,bluff_strike,Bluff strike,물 듯이 공격 시늉 또는 실제 물기,"지속적 위협 상황, 최후 방어 수단",4,0.327219,0.047770
cornsnake,musking,Musking,악취 분비액으로 포식자를 기피시킴,붙잡혔을 때 또는 극도 스트레스 상황,5,0.417606,-0.282781
cornsnake,freezing,Freezing (immobility),움직임을 멈춰 위장 및 회피,포식자 탐지 초기 단계,6,-0.016289,-0.221189
cornsnake,rapid_fleeing,Rapid fleeing,빠르게 도망가 위험 회피,공간적 여유 있을 때 초기 반응,7,0.103750,-0.109155
cornsnake,pheromone_trailing,Pheromone trailing,페로몬 냄새로 짝의 위치 탐색,"번식기, 수컷이 암컷 찾을 때",8,-0.089657,-0.055019
cornsnake,male_combat,Male combat,수컷 간 몸을 휘감는 경쟁행동,교미철 수컷 경쟁,9,-0.406723,0.433913
cornsnake,courtship_tail_quiver,Courtship tail quiver,교미 전 수컷이 꼬리를 미세하게 진동,짝짓기 중 암컷 수용 유도,10,0.079826,0.025650
cornsnake,calm_tongue_flicking,Calm tongue flicking,혀를 느리게 내밀며 환경 탐색,"안정 상태, 무스트레스 상황",11,-0.099312,-0.106240
crested_gecko,tail_waving_slow,Tail waving (slow),느리게 꼬리를 흔들며 스트레스를 표현하고 경고 신호를 보냄,"포식자나 사람의 접촉 시 두려움 표현, 스트레스 상태",0,-0.219151,-0.235249
crested_gecko,tail_vibration_rapid,Tail vibration (rapid),빠르게 꼬리를 진동시켜 흥분 또는 공격/구애 신호를 보냄,"사냥 직전, 짝짓기 시 수컷의 흥분 표현",1,-0.275735,-0.246320
crested_gecko,territorial_marking,Territorial marking (scent rubbing),수컷이 향기 분비물과 꼬리 흔들기로 영역 표시,"수컷 간 세력권 다툼, 번식기 영역 방어",2,-0.033189,-0.207515
crested_gecko,distress_chirping,Distress chirping,두려움이나 불편함을 나타내는 짧은 울음소리,"포획, 놀람, 스트레스 상황",3,0.486820,-0.155969
crested_gecko,barking_call,Barking call,짖는 듯한 발성으로 영역 또는 번식 신호 전달,야간 활동 중 수컷의 구애 또는 경계 표현,4,-0.263608,-0.164419
crested_gecko,head_shaking,Head shaking (refusal),머리를 흔들어 거부 또는 싫음을 표현,"접촉 거부, 수컷 교미 시도 거부",5,0.134072,0.050040
crested_gecko,open_mouth_threat,Open-mouth threat,"입을 벌려 상대를 위협, 공격 경고 신호","극도의 위협 상황, 방어 자세",6,-0.011348,0.530602
crested_gecko,mating_bite,Mating bite,수컷이 암컷의 몸을 살짝 물며 교미 자세 고정,짝짓기 시도 중 또는 교미 중,7,-0.096007,-0.142834
crested_gecko,escape_jump,Escape jump,위협 시 갑작스럽게 점프하여 도주,포식자 회피 또는 놀람 상황,8,0.262693,0.631615
crested_gecko,tail_autotomy,Tail autotomy,꼬리를 절단해 주의를 끌고 도망,포식자 접촉 또는 극심한 스트레스 상황,9,-0.471717,0.263740
crested_gecko,fired_down_calm,Fired-down calm,색이 옅어지고 움직임이 느려지는 평온 상태,"낮 시간 휴식, 익숙한 환경, 무스트레스 상태",10,-0.196344,0.099600
