youtube_id	start	end	label_mapped
HpWM0fc809Q	370.0	380.0	Bark
EGkAJINaFTk	30.0	40.0	Yip
aSNvKefxs4c	60.0	70.0	Bark
GnRTkZahDXQ	30.0	40.0	Whimper
bKnKulXDecM	30.0	40.0	Howl
Q9uQXVI_SSw	30.0	40.0	Yip
k7SgT11PwXo	20.0	30.0	Bark
Bs0hFfFJfQg	540.0	550.0	Growling
P_tkRYMJK_M	80.0	90.0	Bark
M-WK2k7m0zE	30.0	40.0	Whimper
gdDgkU7UrgQ	30.0	40.0	Whimper
2DYxo-rDq8g	9.0	19.0	Bow-wow
lDNeRnYNzxg	30.0	40.0	Yip
9rwfy8B5EB8	280.0	290.0	Bark
IBnu_3TPCYY	30.0	40.0	Whimper
CGqeMWwwgYU	24.0	34.0	Whimper
cddJqJZ1HNM	17.0	27.0	Whimper
4Etd7wb4dHE	30.0	40.0	Yip
KLZDStiY08w	20.0	30.0	Whimper
FvCqbVIWjeE	30.0	40.0	Whimper
